site name,time,grid_outage,solar_energy_produced,total energy consumption,diesel power(kW),battery capacity (Ah),rated voltage（V）,battery charge coefficient,battery discharge coefficient,init SOC,DOD,grid power(kW)
site1,0,False,0.0,0.7042591486976115,18.0,300,54,0.35,1.2,0.2,0.15,8
site1,1,False,0.0,0.7042591486976115,18.0,300,54,0.35,1.2,0.2,0.15,8
site1,2,False,0.0,0.7042591486976115,18.0,300,54,0.35,1.2,0.2,0.15,8
site1,3,False,0.0,0.7042591486976115,18.0,300,54,0.35,1.2,0.2,0.15,8
site1,4,False,0.0,0.6913020216357303,18.0,300,54,0.35,1.2,0.2,0.15,8
site1,5,False,0.0,0.6913020216357303,18.0,300,54,0.35,1.2,0.2,0.15,8
site1,6,False,0.0,0.6913020216357303,18.0,300,54,0.35,1.2,0.2,0.15,8
site1,7,False,0.0,0.6913020216357303,18.0,300,54,0.35,1.2,0.2,0.15,8
site1,8,False,0.0,0.6714913550686622,18.0,300,54,0.35,1.2,0.2,0.15,8
site1,9,False,0.0,0.6714913550686622,18.0,300,54,0.35,1.2,0.2,0.15,8
site1,10,False,0.0,0.6714913550686622,18.0,300,54,0.35,1.2,0.2,0.15,8
site1,11,False,0.0,0.6714913550686622,18.0,300,54,0.35,1.2,0.2,0.15,8
site1,12,False,0.0,0.6758222795850787,18.0,300,54,0.35,1.2,0.2,0.15,8
site1,13,False,0.0,0.6758222795850787,18.0,300,54,0.35,1.2,0.2,0.15,8
site1,14,False,0.0,0.6758222795850787,18.0,300,54,0.35,1.2,0.2,0.15,8
site1,15,False,0.0,0.6758222795850787,18.0,300,54,0.35,1.2,0.2,0.15,8
site1,16,False,0.0,0.696936078870175,18.0,300,54,0.35,1.2,0.2,0.15,8
site1,17,False,0.0,0.696936078870175,18.0,300,54,0.35,1.2,0.2,0.15,8
site1,18,False,0.0,0.696936078870175,18.0,300,54,0.35,1.2,0.2,0.15,8
site1,19,False,0.0,0.696936078870175,18.0,300,54,0.35,1.2,0.2,0.15,8
site1,20,False,0.06,0.7110139194674135,18.0,300,54,0.35,1.2,0.2,0.15,8
site1,21,False,0.06,0.7110139194674135,18.0,300,54,0.35,1.2,0.2,0.15,8
site1,22,False,0.06,0.7110139194674135,18.0,300,54,0.35,1.2,0.2,0.15,8
site1,23,False,0.06,0.7110139194674135,18.0,300,54,0.35,1.2,0.2,0.15,8
site1,24,False,0.305,0.7137711085922022,18.0,300,54,0.35,1.2,0.2,0.15,8
site1,25,False,0.305,0.7137711085922022,18.0,300,54,0.35,1.2,0.2,0.15,8
site1,26,False,0.305,0.7137711085922022,18.0,300,54,0.35,1.2,0.2,0.15,8
site1,27,False,0.305,0.7137711085922022,18.0,300,54,0.35,1.2,0.2,0.15,8
site1,28,False,1.035,0.7272804532143963,18.0,300,54,0.35,1.2,0.2,0.15,8
site1,29,False,1.035,0.7272804532143963,18.0,300,54,0.35,1.2,0.2,0.15,8
site1,30,False,1.035,0.7272804532143963,18.0,300,54,0.35,1.2,0.2,0.15,8
site1,31,False,1.035,0.7272804532143963,18.0,300,54,0.35,1.2,0.2,0.15,8
site1,32,True,1.92,0.7467814073334423,18.0,300,54,0.35,1.2,0.2,0.15,8
site1,33,True,1.92,0.7467814073334423,18.0,300,54,0.35,1.2,0.2,0.15,8
site1,34,True,1.92,0.7467814073334423,18.0,300,54,0.35,1.2,0.2,0.15,8
site1,35,True,1.92,0.7467814073334423,18.0,300,54,0.35,1.2,0.2,0.15,8
site1,36,True,2.545,0.7255055776124895,18.0,300,54,0.35,1.2,0.2,0.15,8
site1,37,True,2.545,0.7255055776124895,18.0,300,54,0.35,1.2,0.2,0.15,8
site1,38,True,2.545,0.7255055776124895,18.0,300,54,0.35,1.2,0.2,0.15,8
site1,39,True,2.545,0.7255055776124895,18.0,300,54,0.35,1.2,0.2,0.15,8
site1,40,True,2.83,0.7277855656946096,18.0,300,54,0.35,1.2,0.2,0.15,8
site1,41,True,2.83,0.7277855656946096,18.0,300,54,0.35,1.2,0.2,0.15,8
