site name,time,grid,diesel,solar
site1,0,False,True,TRUE
site1,1,False,True,TRUE
site1,2,False,True,TRUE
site1,3,False,True,TRUE
site1,4,False,True,TRUE
site1,5,False,True,TRUE
site1,6,False,True,TRUE
site1,7,False,True,TRUE
site1,8,False,True,TRUE
site1,9,False,True,TRUE
site1,10,False,True,TRUE
site1,11,False,True,TRUE
site1,12,False,True,TRUE
site1,13,False,True,TRUE
site1,14,False,True,TRUE
site1,15,False,True,TRUE
site1,16,False,True,TRUE
site1,17,False,True,TRUE
site1,18,False,True,TRUE
site1,19,False,True,TRUE
site1,20,False,True,TRUE
site1,21,False,True,TRUE
site1,22,False,True,TRUE
site1,23,False,True,TRUE
site1,24,False,True,TRUE
site1,25,False,True,TRUE
site1,26,False,True,TRUE
site1,27,False,True,TRUE
site1,28,False,True,TRUE
site1,29,False,True,TRUE
site1,30,False,True,TRUE
site1,31,False,True,TRUE
site1,32,False,False,TRUE
site1,33,False,False,TRUE
site1,34,False,False,TRUE
site1,35,False,False,TRUE
site1,36,False,False,TRUE
site1,37,False,False,TRUE
site1,38,False,False,TRUE
site1,39,False,False,TRUE
site1,40,False,False,TRUE
site1,41,False,False,TRUE
site1,42,False,False,TRUE
site1,43,False,False,TRUE
site1,44,False,False,TRUE
site1,45,False,False,TRUE
site1,46,False,False,TRUE
site1,47,False,False,TRUE
site1,48,False,False,TRUE
site1,49,False,False,TRUE
site1,50,False,False,TRUE
site1,51,False,False,TRUE
site1,52,False,False,TRUE
site1,53,False,False,TRUE
site1,54,False,False,TRUE
site1,55,False,False,TRUE
site1,56,False,False,TRUE
site1,57,False,False,TRUE
site1,58,False,False,TRUE
site1,59,False,False,TRUE
site1,60,False,False,TRUE
site1,61,False,False,TRUE
site1,62,False,False,TRUE
site1,63,False,False,TRUE
site1,64,False,False,TRUE
site1,65,False,False,TRUE
site1,66,False,False,TRUE
site1,67,False,False,TRUE
site1,68,False,False,TRUE
site1,69,False,False,TRUE
site1,70,False,False,TRUE
site1,71,False,False,TRUE
site1,72,False,False,TRUE
site1,73,False,False,TRUE
site1,74,False,False,TRUE
site1,75,False,False,TRUE
site1,76,False,False,TRUE
site1,77,False,False,TRUE
site1,78,False,False,TRUE
site1,79,False,False,TRUE
site1,80,False,False,TRUE
site1,81,False,False,TRUE
site1,82,False,False,TRUE
site1,83,False,False,TRUE
site1,84,False,False,TRUE
site1,85,False,False,TRUE
site1,86,False,False,TRUE
site1,87,False,False,TRUE
site1,88,False,False,TRUE
site1,89,False,False,TRUE
site1,90,False,False,TRUE
site1,91,False,False,TRUE
site1,92,False,False,TRUE
site1,93,False,False,TRUE
site1,94,False,False,TRUE
site1,95,False,False,TRUE
site1,96,False,False,TRUE
site1,97,False,False,TRUE
site1,98,False,False,TRUE
site1,99,False,False,TRUE
site1,100,False,False,TRUE
site1,101,False,False,TRUE
site1,102,False,False,TRUE
site1,103,False,False,TRUE
site1,104,True,False,TRUE
site1,105,True,False,TRUE
site1,106,True,False,TRUE
site1,107,True,False,TRUE
site1,108,True,False,TRUE
site1,109,True,False,TRUE
site1,110,True,False,TRUE
site1,111,True,False,TRUE
site1,112,True,False,TRUE
site1,113,True,False,TRUE
site1,114,True,False,TRUE
site1,115,True,False,TRUE
site1,116,True,False,TRUE
site1,117,True,False,TRUE
site1,118,True,False,TRUE
site1,119,True,False,TRUE
site1,120,True,False,TRUE
site1,121,True,False,TRUE
site1,122,True,False,TRUE
site1,123,True,False,TRUE
site1,124,True,False,TRUE
site1,125,True,False,TRUE
site1,126,True,False,TRUE
site1,127,True,False,TRUE
site1,128,True,False,TRUE
site1,129,True,False,TRUE
site1,130,True,False,TRUE
site1,131,True,False,TRUE
site1,132,True,False,TRUE
site1,133,True,False,TRUE
site1,134,True,False,TRUE
site1,135,True,False,TRUE
site1,136,False,False,TRUE
site1,137,False,False,TRUE
site1,138,False,False,TRUE
site1,139,False,False,TRUE
site1,140,False,False,TRUE
site1,141,False,False,TRUE
site1,142,False,False,TRUE
site1,143,False,False,TRUE
site1,144,False,False,TRUE
site1,145,False,False,TRUE
site1,146,False,False,TRUE
site1,147,False,False,TRUE
site1,148,False,False,TRUE
site1,149,False,False,TRUE
site1,150,False,False,TRUE
site1,151,False,False,TRUE
site1,152,False,False,TRUE
site1,153,False,False,TRUE
site1,154,False,False,TRUE
site1,155,False,False,TRUE
site1,156,False,False,TRUE
site1,157,False,False,TRUE
site1,158,False,False,TRUE
site1,159,False,False,TRUE
